Airport_IATA,Airport_Name,Country_Code,Country_Name,Latitude,Longitude
KTA,Karratha,AU,Australia,-20.7122,116.7733
KTR,Katherine Raaf Tindal,AU,Australia,-14.5211,132.3778
KUG,Kubin,AU,Australia,-10.2267,142.2197
KWM,Kowanyama,AU,Australia,-15.4853,141.7522
KYB,Ken's Bore,AU,Australia,-22.1606,116.1594
KYF,Yeelirrie,AU,Australia,-27.2778,120.075
KYI,Yalata Mission,AU,Australia,-31.4833,131.8667
LVO,Laverton,AU,Australia,-28.6136,122.4239
LWH,Lawn Hill,AU,Australia,-18.5658,138.6381
LYT,Lady Elliot Island,AU,Australia,-24.1167,152.7
LZR,Lizard Island,AU,Australia,-14.6731,145.4542
MBB,Marble Bar,AU,Australia,-21.1625,119.8353
MBF,Mount Buffalo Porepunkah,AU,Australia,-36.75,146.75
MBH,Maryborough,AU,Australia,-25.5133,152.715
MBN,Mount Barnett,AU,Australia,-16.6667,125.95
MBW,Moorabbin,AU,Australia,-37.9758,145.1022
MCV,Mcarthur River Mine,AU,Australia,-16.4422,136.0831
MCY,Sunshine Coast Maroochydore,AU,Australia,-26.6033,153.0911
MEB,Melbourne Essendon Apt,AU,Australia,-37.7333,144.9
MEL,Melbourne (AU),AU,Australia,-37.6733,144.8433
MET,Moreton,AU,Australia,-12.75,142.7667
MFL,Wando Vale Mount Full Stop,AU,Australia,-19.6667,144.9
MFP,Manners Creek Station,AU,Australia,-22.1,137.9833
MGB,Mount Gambier Airport,AU,Australia,-37.7456,140.7853
MGT,Milingimbi Island Airport,AU,Australia,-12.0944,134.8936
MGV,Margaret River Station,AU,Australia,-18.6167,126.8667
MHO,Mount House Airport,AU,Australia,-17.1667,125.6667
MHU,Mount Hotham Airport,AU,Australia,-37.0475,147.3342
MIH,Mitchell Plateau Airport,AU,Australia,-14.7833,125.8167
MIM,Merimbula Airport,AU,Australia,-36.9086,149.9014
MIN,Minnipa Airport,AU,Australia,-32.8333,135.1333
MIY,Mittiebah Airport,AU,Australia,-18.9,137.0667
MIZ,Mainoru Airport,AU,Australia,-14.3,134.0833
MJK,Monkey Mia Shark Bay,AU,Australia,-25.8953,113.5758
MJP,Manjimup Airport,AU,Australia,-34.2333,116.15
MKR,Meekatharra Airport,AU,Australia,-26.6117,118.5478
MKV,Mount Cavenagh Airport,AU,Australia,-25.9667,133.2
MKY,Mackay Airport,AU,Australia,-21.1717,149.1797
MLR,Millicent Airport,AU,Australia,-37.5831,140.3661
MLV,Merluna,AU,Australia,-13.0667,142.45
MMG,Mount Magnet,AU,Australia,-28.1161,117.8417
MMM,Middlemount,AU,Australia,-22.8006,148.705
MNE,Mungeranie,AU,Australia,-28.0167,138.6667
MNG,Maningrida,AU,Australia,-12.0561,134.2342
MNQ,Monto,AU,Australia,-24.8833,151.1
MNV,Mount Valley,AU,Australia,-14.1167,133.8333
MNW,Macdonald Downs,AU,Australia,-22.5,135.1667
MOO,Moomba,AU,Australia,-28.0994,140.1983
MOV,Moranbah,AU,Australia,-22.0586,148.0764
MQA,Mandora Station,AU,Australia,-19.8333,120.8333
MQE,Marqua,AU,Australia,-22.8167,137.35
MQL,Mildura,AU,Australia,-34.2292,142.0856
MQZ,Margaret River,AU,Australia,-33.95,115.0667
MRG,Mareeba,AU,Australia,-17.0,145.4333
MRL,Miner's Lake,AU,Australia,-20.0667,145.5833
MRP,Marla,AU,Australia,-27.0333,133.1167
MRT,Moroak,AU,Australia,-14.8167,133.7
MRZ,Moree,AU,Australia,-29.4989,149.8447
MSF,Mount Swan,AU,Australia,-22.6667,134.9167
MTD,Mount Sanford Station,AU,Australia,-16.9833,130.55
MTL,Maitland,AU,Australia,-32.7333,151.55
MTQ,Mitchell,AU,Australia,-26.5833,147.9667
MUP,Mulga Park,AU,Australia,-25.85,131.6
MUQ,Muccan Station,AU,Australia,-20.6333,120.0333
MVH,Macksville,AU,Australia,-30.7167,152.9167
MVK,Mulka,AU,Australia,-28.35,138.65
MVU,Musgrave,AU,Australia,-14.1667,143.6833
MWB,Morawa,AU,Australia,-29.2042,116.0225
MWT,Moolawatana,AU,Australia,-29.9167,139.7167
MWY,Miranda Downs,AU,Australia,-17.3667,141.8667
MXD,Marion Downs,AU,Australia,-23.5,139.6667
MXU,Mullewa,AU,Australia,-28.55,115.5167
MYA,Moruya,AU,Australia,-35.8983,150.1461
MYI,Murray Island,AU,Australia,-9.9153,144.0547
MYO,Myroodah Station,AU,Australia,-18.2,124.2
NAA,Narrabri,AU,Australia,-30.3192,149.8272
NAC,Naracoorte,AU,Australia,-36.9806,140.7233
NBH,Nambucca Heads,AU,Australia,-30.65,153.0
NBR,Nambour,AU,Australia,-26.6333,152.9667
NDS,Sandstone,AU,Australia,-28.0,119.25
NGA,Young Airport,AU,Australia,-34.25,148.25
NIF,Nifty Airport,AU,Australia,-21.6736,121.5961
NKB,Noonkanbah Airport,AU,Australia,-18.5,124.8333
NLF,Darnley Island Airport,AU,Australia,-9.5792,143.7803
NLL,Nullagine Airport,AU,Australia,-21.9167,120.2
NLS,Nicholson Airport,AU,Australia,-18.0417,128.9
NMP,New Moon Airport,AU,Australia,-19.2033,145.7719
NMR,Nappa Merrie Airport,AU,Australia,-27.6333,141.0833
NOA,Nowra Airport,AU,Australia,-34.9333,150.5667
NPP,Napperby Airport,AU,Australia,-22.6333,132.8333
NRA,Narrandera Airport,AU,Australia,-34.7022,146.5122
NRG,Narrogin,AU,Australia,-32.9333,117.1667
NRY,Newry,AU,Australia,-16.0833,129.3417
NSM,Norseman,AU,Australia,-32.2,121.75
NSO,Scone,AU,Australia,-32.0378,150.8317
NSV,Noosaville Noosa,AU,Australia,-26.4,153.0667
NTL,Newcastle Williamtown Apt,AU,Australia,-32.795,151.8344
NTN,Normanton,AU,Australia,-17.6836,141.0703
NUB,Numbulwar,AU,Australia,-14.2667,135.7167
ODR,Ord River,AU,Australia,-17.35,128.9
OKB,Fraser Island Orchid Beach,AU,Australia,-25.0,153.2833
OKR,Yorke Island,AU,Australia,-9.7528,143.4056
OKY,Oakey Army Aviation Center,AU,Australia,-27.4114,151.7353
OLP,Olympic Dam,AU,Australia,-30.485,136.8767
ONG,Mornington Island,AU,Australia,-16.6617,139.1706
ONR,Monkira,AU,Australia,-24.8167,140.5333
ONS,Onslow,AU,Australia,-21.6689,115.1125
OOD,Koodaideri Mine Gudai-Darri Mine,AU,Australia,-22.5222,119.0956
OOL,Gold Coast,AU,Australia,-28.1644,153.5047
OOM,Cooma Snowy Mountains,AU,Australia,-36.3006,148.9739
OOR,Mooraberree,AU,Australia,-25.245,140.9808
OPI,Oenpelli,AU,Australia,-12.3333,133.0833
ORR,Yorketown,AU,Australia,-35.0333,137.6
ORS,Orpheus Island Waterport Spb,AU,Australia,-18.6333,146.4833
OSO,Osborne Mine,AU,Australia,-22.0817,140.5569
OXO,Orientos,AU,Australia,-28.1333,141.5333
OXY,Morney,AU,Australia,-25.3667,141.4667
OYN,Ouyen,AU,Australia,-36.9319,142.3167
PBO,Paraburdoo,AU,Australia,-23.1719,117.7467
PBY,Long Island/Palm Bay Heliport,AU,Australia,-20.2833,148.8333
PDE,Pandie Pandie,AU,Australia,-26.1333,139.3833
PDN,Parndana,AU,Australia,-35.8,137.2167
PEA,Penneshaw,AU,Australia,-35.7333,137.9333
PEP,Peppimenarti,AU,Australia,-14.15,130.1
PER,????,AU,Australia,-31.9403,115.9669
PEY,Penong,AU,Australia,-31.9167,133.0167
PHE,Port Hedland International,AU,Australia,-20.3778,118.6264
PHJ,Newcastle Harbour Heliport,AU,Australia,-32.9167,151.7667
PHQ,Phosphate Hill,AU,Australia,-21.8117,139.9233
